2,2,1,"[2, 1, 4]","[210, 30, 200, 10, 220, 20]"
2,1,1,"[1, 2, 4]","[230, 30, 240, 30, 250, 10]"
2,1,2,"[1, 4, 2]","[230, 30, 220, 30, 210, 30]"
1,1,2,"[1, 2, 4]","[230, 10, 210, 10, 220, 30]"
2,1,2,"[4, 1, 2]","[220, 30, 200, 30, 240, 30]"
2,2,1,"[2, 4, 1]","[240, 10, 250, 20, 230, 20]"
1,1,2,"[2, 4, 1]","[210, 30, 250, 10, 200, 30]"
2,2,1,"[4, 2, 1]","[250, 30, 210, 10, 230, 30]"
1,1,1,"[2, 1, 4]","[240, 30, 230, 30, 250, 30]"
1,2,2,"[2, 1, 4]","[210, 10, 200, 20, 250, 30]"
2,1,2,"[1, 4, 2]","[230, 10, 250, 20, 240, 30]"
