1,1,2,"[2, 1, 4]","[210, 10, 200, 20, 220, 20]"
1,1,2,"[1, 4, 2]","[230, 10, 250, 30, 240, 10]"
1,1,2,"[1, 2, 4]","[230, 20, 240, 30, 220, 10]"
2,2,1,"[1, 4, 2]","[200, 10, 250, 30, 210, 20]"
1,1,2,"[2, 4, 1]","[210, 10, 220, 20, 200, 20]"
2,2,2,"[2, 1, 4]","[210, 20, 230, 30, 250, 10]"
2,1,1,"[1, 2, 4]","[230, 10, 240, 30, 220, 10]"
2,2,1,"[4, 1, 2]","[250, 30, 230, 30, 210, 30]"
1,1,1,"[4, 2, 1]","[250, 10, 240, 30, 200, 20]"
2,2,1,"[4, 1, 2]","[250, 30, 230, 30, 210, 20]"
2,1,1,"[1, 2, 4]","[200, 10, 240, 30, 250, 10]"
