2,2,2,"[4, 1, 2]","[250, 30, 200, 20, 240, 20]"
2,1,1,"[1, 2, 4]","[200, 10, 210, 10, 220, 20]"
2,2,2,"[4, 1, 2]","[250, 10, 200, 30, 240, 10]"
1,2,1,"[2, 1, 4]","[210, 20, 230, 10, 220, 30]"
1,2,1,"[1, 2, 4]","[200, 30, 210, 10, 250, 10]"
2,1,2,"[1, 2, 4]","[200, 10, 240, 10, 250, 30]"
2,1,1,"[1, 4, 2]","[200, 30, 250, 10, 210, 10]"
1,2,2,"[4, 2, 1]","[220, 20, 240, 30, 200, 20]"
2,2,1,"[1, 4, 2]","[200, 10, 220, 10, 210, 10]"
1,1,2,"[1, 4, 2]","[200, 10, 220, 10, 210, 10]"
2,2,1,"[2, 1, 4]","[210, 10, 200, 10, 220, 10]"
1,1,2,"[2, 1, 4]","[210, 10, 200, 10, 220, 10]"
2,1,1,"[2, 4, 1]","[210, 10, 220, 10, 200, 10]"
