2,2,2,"[4, 1, 2]","[250, 10, 230, 20, 240, 10]"
2,2,1,"[1, 4, 2]","[200, 20, 220, 30, 240, 30]"
2,2,2,"[1, 4, 2]","[230, 20, 250, 30, 240, 10]"
1,2,1,"[4, 2, 1]","[220, 20, 240, 20, 200, 30]"
2,1,1,"[4, 1, 2]","[220, 30, 200, 10, 240, 30]"
2,1,1,"[2, 4, 1]","[210, 10, 250, 10, 230, 30]"
2,1,1,"[4, 2, 1]","[250, 20, 240, 10, 200, 20]"
2,2,1,"[1, 4, 2]","[200, 20, 220, 30, 210, 30]"
2,2,1,"[4, 2, 1]","[220, 20, 210, 30, 200, 20]"
2,1,1,"[4, 1, 2]","[220, 20, 200, 10, 240, 20]"
2,1,2,"[1, 4, 2]","[230, 10, 250, 10, 240, 30]"
2,2,2,"[2, 4, 1]","[240, 10, 220, 30, 230, 10]"
