1,1,1,"[4, 2, 1]","[220, 30, 210, 20, 230, 10]"
2,1,1,"[2, 4, 1]","[210, 20, 250, 10, 230, 20]"
1,1,1,"[4, 2, 1]","[250, 20, 210, 20, 230, 20]"
2,2,1,"[1, 2, 4]","[200, 20, 210, 30, 220, 20]"
1,2,2,"[4, 2, 1]","[250, 20, 210, 10, 200, 30]"
1,2,1,"[1, 4, 2]","[230, 30, 220, 20, 240, 20]"
2,2,2,"[2, 1, 4]","[210, 20, 230, 10, 220, 30]"
2,1,2,"[2, 4, 1]","[240, 10, 250, 20, 200, 20]"
2,1,1,"[4, 1, 2]","[220, 20, 200, 20, 240, 30]"
1,2,2,"[1, 4, 2]","[200, 30, 220, 10, 240, 20]"
2,1,2,"[4, 1, 2]","[250, 30, 230, 10, 210, 10]"
